	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	8	1	delisted	explays	explays	7	7
1	1	2	9352	in	consists	consists	8	8
2	2	8	143	december	sumber	sumber	6	6
3	3	3	24747	the	exposition	exposition	10	10
4	4	7	10	soviets	rail	rail	4	4
5	5	6	11	pushed	polly	polly	5	5
6	6	4	48	past	marge	marge	5	5
7	7	8	7	romanian	restructions	restructions	12	12
8	8	5	131	third	specient	specient	8	8
9	9	4	133	army	meading	meading	7	7
10	10	3	587	all	tribble	tribble	7	7
11	11	2	11316	of	specismic	specismic	9	9
12	12	4	193	what	gubradias	gubradias	9	9
13	13	2	120	we	tree	tree	4	4
14	14	4	47	know	wendow	wendow	6	6
15	15	5	611	about	start	start	5	5
16	16	8	5	socrates	edrio	edrio	5	5
17	17	2	5307	is	sarce	sarce	5	5
18	18	4	1812	from	serphy	serphy	6	6
19	19	5	726	other	shave	shave	5	5
20	20	6	912	people	lader	lader	5	5
21	21	5	113	wrote	streams	streams	7	7
22	22	3	350	him	hirghan	hirghan	7	7
23	23	3	56	iii	harm	harm	4	4
24	24	8	10	richmond	passion	passion	7	7
25	25	6	30	trophy	fland	fland	5	5
26	26	2	2779	it	albaine	albaine	7	7
27	27	1	7947	a	pathens	pathens	7	7
28	28	5	25	sport	extry	extry	5	5
29	29	4	2268	that	solvation	solvation	9	9
30	30	4	559	most	alash	alash	5	5
31	31	6	138	common	suspect	suspect	7	7
32	32	7	286	between	lose	lose	4	4
33	33	5	148	young	athani	athani	6	6
34	34	8	161	children	frocker	frocker	7	7
35	35	2	441	up	continal	continal	8	8
36	36	2	7048	to	resultive	resultive	9	9
37	37	7	28	younger	steephy	steephy	7	7
38	38	6	23	adults	analogeto	analogeto	9	9
39	39	12	4	nevertheless	centuration	centuration	11	11
40	40	2	2752	he	supposed	supposed	8	8
41	41	8	37	finished	manther	manther	7	7
42	42	4	2118	with	prosessed	prosessed	9	9
43	43	6	76	career	respecting	respecting	10	10
44	44	5	1	highs	marton	marton	6	6
45	45	5	36	goals	amorth	amorth	6	6
46	46	3	9172	and	bruche	bruche	6	6
47	47	7	3	assists	post	post	4	4
