idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	-inf	-inf	8	1	delisted	explays	explays	8	7	7
1	179.76024016897313	165.76673053128638	2	9299	in	consists	consists	2	8	8
2	132.6804160122534	49.76900180246435	8	140	december	sumber	sumber	8	6	6
3	182.5822195594473	169.11353132323958	3	24605	the	exposition	exposition	3	10	10
4	94.9451549936842	-2216.3583258729486	7	10	soviets	rail	rail	7	4	4
5	154.85980498444533	-2132.6479915770296	6	11	pushed	polly	polly	6	5	5
6	155.21281794946754	-1259.156600480063	4	48	past	marge	marge	4	5	5
7	94.96434000235324	-2336.32896465178	8	5	romanian	restructions	restructions	8	12	12
8	166.22302067847352	87.56108338948795	5	116	third	specient	specient	5	8	8
9	147.3960881436891	72.1492892368309	4	132	army	meading	meading	4	7	7
10	178.58962443347153	154.896701207937	3	585	all	tribble	tribble	3	7	7
11	183.40748312512676	170.50814462200853	2	11267	of	specismic	specismic	2	9	9
12	179.61078862123455	131.0844403300854	4	190	what	gubradias	gubradias	4	9	9
13	162.29505800855318	72.31418430209409	2	120	we	tree	tree	2	4	4
14	162.4118521146847	-1230.5195461694996	4	47	know	wendow	wendow	4	6	6
15	175.6984227139557	147.07339311296013	5	611	about	start	start	5	5	5
16	3.564630057915762	-2442.184560191331	8	5	socrates	edrio	edrio	8	5	5
17	181.6383677646226	161.64719807627702	2	5302	is	sarce	sarce	2	5	5
18	181.88498813423743	162.82468533119882	4	1806	from	serphy	serphy	4	6	6
19	179.020907390832	151.46244230740393	5	722	other	shave	shave	5	5	5
20	164.9282362207714	136.3547286217514	6	905	people	lader	lader	6	5	5
21	146.50064464956802	55.4721471987796	5	113	wrote	streams	streams	5	7	7
22	155.94556860759485	121.10648295947972	3	350	him	hirghan	hirghan	3	7	7
23	133.9988983033832	-1255.3139976287405	3	50	iii	harm	harm	3	4	4
24	80.33835751127312	-2272.448403863064	8	8	richmond	passion	passion	8	7	7
25	104.36378349232471	-1925.6552632559592	6	27	trophy	fland	fland	6	5	5
26	174.90565148653846	151.6164093136531	2	2773	it	albaine	albaine	2	7	7
27	184.4761200279727	170.04126449566394	1	7830	a	pathens	pathens	1	7	7
