	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	1	102	n	horn	horn	4	4
1	1	1	7845	a	addre	addre	5	5
2	2	5	712	there	exculation	exculation	10	10
3	3	4	1159	were	beblan	beblan	6	6
4	4	4	1153	also	weater	weater	6	6
5	5	2	309	no	sing	sing	4	4
6	6	9	51	buildings	recording	recording	9	9
7	7	5	889	which	and	and	3	3
8	8	6	58	higher	filling	filling	7	7
9	9	4	376	than	communi	communi	7	7
10	10	6	2	floors	pallitadians	pallitadians	12	12
11	11	2	9435	in	leavery	leavery	7	7
12	12	5	331	south	bough	bough	5	5
13	13	5	58	korea	paller	paller	6	6
14	14	5	4	freud	caure	caure	5	5
15	15	8	52	believed	crosses	crosses	7	7
16	16	6	21	mental	calling	calling	7	7
17	17	9	11	disorders	publics	publics	7	7
18	18	3	2115	are	authoright	authoright	10	10
19	19	6	64	result	erecomption	erecomption	11	11
20	20	2	11364	of	russia	russia	6	6
21	21	9	1	repressed	counts	counts	6	6
22	22	8	3	memories	expended	expended	8	8
23	23	3	9146	and	carrilian	carrilian	9	9
24	24	8	10	emotions	contain	contain	7	7
25	25	4	1838	from	deriver	deriver	7	7
26	26	9	13	childhood	biard	biard	5	5
27	27	14	1	psychoanalysis	carry	carry	5	5
28	28	2	5338	is	stace	stace	5	5
29	29	8	42	designed	stript	stript	6	6
30	30	2	6946	to	concersed	concersed	9	9
31	31	6	21	search	chailing	chailing	8	8
32	32	3	2765	for	recognise	recognise	9	9
33	33	5	467	these	admitted	admitted	8	8
34	34	6	18	hidden	rawa	rawa	4	4
35	35	5	25	bring	toards	toards	6	6
36	36	4	376	them	mettory	mettory	7	7
37	37	3	24785	the	artistic	artistic	8	8
38	38	8	18	patients	beneuth	beneuth	7	7
39	39	9	25	attention	intersice	intersice	9	9
40	40	5	14	multi	horrowers	horrowers	9	9
41	41	5	71	stage	strees	strees	6	6
42	42	5	24	races	citcher	citcher	7	7
43	43	2	1	gc	assistence	assistence	10	10
44	44	6	71	leader	bellow	bellow	6	6
45	45	4	320	will	tores	tores	5	5
46	46	5	29	watch	string	string	6	6
47	47	5	36	break	elective	elective	8	8
48	48	5	1	aways	thought	thought	7	7
49	49	9	5	carefully	intertainer	intertainer	11	11
50	50	2	367	if	bachies	bachies	7	7
51	51	5	14	rider	clark	clark	5	5
52	52	5	70	close	classe	classe	6	6
53	53	3	346	him	servation	servation	9	9
54	54	7	141	general	clother	clother	7	7
55	55	14	15	classification	mara	mara	4	4
56	56	6	1	arturo	pira	pira	4	4
57	57	7	1	schwarz	diclect	diclect	7	7
58	58	7	67	italian	scared	scared	6	6
59	59	3	101	art	frangle	frangle	7	7
60	60	9	20	historian	met	met	3	3
61	61	6	77	writer	socalian	socalian	8	8
62	62	2	2835	it	command	command	7	7
63	63	3	192	now	hillengation	hillengation	12	12
64	64	6	20	oxford	arcame	arcame	6	6
65	65	10	6	dictionary	disprose	disprose	8	8
66	66	5	1	todos	comministed	comministed	11	11
67	67	3	66	los	commanded	commanded	9	9
68	68	7	1	pecados	bang	bang	4	4
69	69	3	35	del	liver	liver	5	5
70	70	5	3	mundo	belong	belong	6	6
71	71	3	716	new	cap	cap	3	3
72	72	4	195	york	fin	fin	3	3
73	73	5	319	state	pendings	pendings	8	8
74	74	5	46	route	share	share	5	5
75	75	5	1	nadav	san	san	3	3
76	76	5	1	guedj	sala	sala	4	4
77	77	5	2	unnai	statifical	statifical	10	10
78	78	4	1	kann	fare	fare	4	4
79	79	9	1	theduthey	lails	lails	5	5
80	80	6	136	famous	arabitian	arabitian	9	9
81	81	4	700	many	main	main	4	4
82	82	9	152	countries	lita	lita	4	4
83	83	6	205	around	diam	diam	4	4
84	84	5	508	world	sunner	sunner	6	6
85	85	4	534	most	countrations	countrations	12	12
86	86	5	40	solid	rancest	rancest	7	7
87	87	7	34	objects	marian	marian	6	6
88	88	3	819	can	beagle	beagle	6	6
89	89	5	29	block	resting	resting	7	7
90	90	6	3	mmwave	indective	indective	9	9
91	91	1	112	c	entrect	entrect	7	7
92	92	5	2	elmer	plan	plan	4	4
93	93	8	276	anderson	shore	shore	5	5
94	94	7	2	pulower	explorative	explorative	11	11
95	95	3	115	see	proves	proves	6	6
96	96	4	7	alto	log	log	3	3
97	97	8	1	hospicio	shate	shate	5	5
98	98	2	122	we	shands	shands	6	6
99	99	7	56	divided	entire	entire	6	6
100	100	7	255	between	discussed	discussed	9	9
101	101	5	127	those	shounder	shounder	8	8
102	102	3	656	who	losist	losist	6	6
103	103	5	67	think	seck	seck	4	4
104	104	4	2081	with	exploded	exploded	8	8
105	105	5	857	their	carters	carters	7	7
106	106	4	111	head	hands	hands	5	5
107	107	4	68	know	philips	philips	7	7
108	108	5	81	heart	carches	carches	7	7
109	109	4	1433	this	traditions	traditions	10	10
110	110	5	12	leads	misses	misses	6	6
111	111	2	282	us	man	man	3	3
112	112	5	726	other	appecation	appecation	10	10
113	113	7	105	animals	sender	sender	6	6
114	114	6	79	change	bombs	bombs	5	5
115	115	4	204	what	sefice	sefice	6	6
116	116	2	311	do	beard	beard	5	5
117	117	4	711	when	trando	trando	6	6
118	118	3	42	met	richind	richind	7	7
119	119	7	1	needles	imposed	imposed	7	7
120	120	6	283	second	publish	publish	7	7
