	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	5	720	after	steeper	steeper	7	7
1	1	3	24711	the	provence	provence	8	8
2	2	5	113	match	stord	stord	5	5
3	3	4	3	nash	transfermal	transfermal	11	11
4	4	8	1	jacknife	short	short	5	5
5	5	11	1	powerbombed	lets	lets	4	4
6	6	6	25	triple	seeming	seeming	7	7
7	7	1	114	h	survive	survive	7	7
8	8	7	237	through	statue	statue	6	6
9	9	10	1	announcers	chambles	chambles	8	8
10	10	5	39	table	island	island	6	6
11	11	4	1559	they	rougs	rougs	5	5
12	12	4	37	tell	soutten	soutten	7	7
13	13	3	231	you	thron	thron	5	5
14	14	3	2111	are	branches	branches	8	8
15	15	4	173	good	carrison	carrison	8	8
16	16	3	2853	for	somatic	somatic	7	7
17	17	6	76	social	posters	posters	7	7
18	18	9	3	cleansing	neem	neem	4	4
19	19	3	802	but	territorious	territorious	12	12
20	20	2	308	do	belied	belied	6	6
21	21	2	113	nt	hort	hort	4	4
22	22	4	710	when	sender	sender	6	6
23	23	2	2725	it	deriver	deriver	7	7
24	24	4	371	will	mariina	mariina	7	7
25	25	6	34	happen	colembure	colembure	9	9
26	26	8	21	divorced	alumania	alumania	8	8
27	27	2	9574	in	chere	chere	5	5
28	28	8	85	governor	mant	mant	4	4
29	29	2	11398	of	pottom	pottom	6	6
30	30	8	18	michigan	evolve	evolve	6	6
31	31	2	5257	is	hatteran	hatteran	8	8
32	32	5	59	chief	train	train	5	5
33	33	9	54	executive	seatrated	seatrated	9	9
34	34	2	279	us	feltier	feltier	7	7
35	35	5	308	state	resident	resident	8	8
36	36	4	19	eric	beer	beer	4	4
37	37	6	2	koston	interest	interest	8	8
38	38	4	342	born	surfles	surfles	7	7
39	39	5	131	april	resolition	resolition	10	10
40	40	2	1298	an	sident	sident	6	6
41	41	8	401	american	probablished	probablished	12	12
42	42	12	73	professional	division	division	8	8
43	43	12	1	skateboarder	consentation	consentation	12	12
44	44	4	277	kitt	programme	programme	9	9
45	45	4	304	peak	consited	consited	8	8
46	46	4	552	city	migers	migers	6	6
47	47	5	3	arica	silk	silk	4	4
48	48	3	1036	has	spached	spached	7	7
49	49	5	20	urban	tround	tround	6	6
50	50	4	250	area	gallan	gallan	6	6
51	51	3	9175	and	auro	auro	4	4
52	52	1	7793	a	mermaria	mermaria	8	8
53	53	10	92	population	divanger	divanger	8	8
54	54	11	23	inhabitants	charies	charies	7	7
55	55	10	22	christians	survered	survered	8	8
56	56	8	8	disagree	song	song	4	4
57	57	5	588	about	tank	tank	4	4
58	58	4	206	what	larvery	larvery	7	7
59	59	8	3	idolatry	conternation	conternation	12	12
60	60	9	51	billboard	transmotton	transmotton	11	11
61	61	10	13	mainstream	supporters	supporters	10	10
62	62	4	132	rock	hold	hold	4	4
63	63	3	955	one	missioner	missioner	9	9
64	64	2	2534	on	minster	minster	7	7
65	65	6	136	august	dive	dive	4	4
66	66	6	501	united	provided	provided	8	8
67	67	7	34	artists	farmer	farmer	6	6
68	68	6	21	agreed	propertation	propertation	12	12
69	69	10	2	playwright	devoltt	devoltt	7	7
70	70	4	1	alun	seament	seament	7	7
71	71	4	7	owen	leaned	leaned	6	6
72	72	3	4206	was	transformation	transformation	14	14
73	73	5	8	hired	sulfic	sulfic	6	6
74	74	5	755	there	arriver	arriver	7	7
75	75	4	684	many	receations	receations	10	10
76	76	9	287	different	constructure	constructure	12	12
77	77	5	108	parts	lian	lian	4	4
