idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	182.52910030997123	169.13378255080823	3	24422	the	angressance	angressance	3	11	11
1	71.45717342071767	-2360.2984473469346	12	5	caterpillars	reling	reling	12	6	6
2	176.85008458547097	149.83493712882265	4	1084	also	artania	artania	4	7	7
3	184.2955079756202	155.99768086733567	4	1036	have	polympic	polympic	4	8	8
4	142.2095756968116	-2141.1455290908643	7	11	colours	prince	prince	7	6	6
5	180.01825266938113	161.51527294126518	4	2146	with	starter	starter	4	7	7
6	162.70373281456185	-219.4913942441397	7	92	similar	resounce	resounce	7	8	8
7	154.10127619074552	-2075.995302531025	9	13	functions	contained	contained	9	9	9
8	171.78864342574573	147.0851503223691	3	1602	his	execution	execution	3	9	9
9	161.5513885158879	133.8868492863314	5	802	first	barismanism	barismanism	5	11	11
10	133.95887725259684	-1451.7453403198067	5	43	drama	film	film	5	4	4
11	184.34105448501356	163.40552082652428	2	2300	as	abstantal	abstantal	2	9	9
12	139.86124478198084	-2000.3160085325148	9	17	principal	fandine	fandine	9	7	7
13	175.42363571371308	155.57412559746183	3	4080	was	minaging	minaging	3	8	8
14	-inf	-inf	19	1	jitennsyasyounennki	campage	campage	19	7	7
15	164.77083769870177	-1579.450421955524	4	35	note	continetal	continetal	4	10	10
16	191.33707757742985	169.51994792714856	4	2275	that	turner	turner	4	6	6
17	140.3202320806035	-1447.3134754965029	6	39	comedy	trick	trick	6	5	5
18	163.9159876136291	103.45219753907844	4	159	does	parting	parting	4	7	7
19	178.9012294796108	153.26861531655965	3	1230	not	filled	filled	3	6	6
20	164.41746150632093	-1548.184675375418	4	36	mean	intendates	intendates	4	10	10
21	108.76561477568158	-2325.0929173222376	5	5	funny	boret	boret	5	5	5
22	166.39311014431564	-877.4169240541922	4	64	here	reed	reed	4	4	4
23	161.21844111070718	136.93593345703533	3	767	but	phanton	phanton	3	7	7
24	170.44209356599512	-1467.1283154122084	6	39	rather	dest	dest	6	4	4
25	174.84928520461406	151.775632897826	2	2735	it	creeting	creeting	2	8	8
26	172.71926493920492	144.89342576197254	3	981	has	segent	segent	3	6	6
27	184.4169359822966	170.01853692629248	1	7612	a	still	still	1	5	5
28	166.45531007775728	-1817.947939900629	8	23	positive	permongeration	permongeration	8	14	14
29	160.19013345155793	-1979.318931421608	6	17	ending	connentantal	connentantal	6	12	12
30	179.48985592459266	160.3198585486623	2	2626	on	recoverse	recoverse	2	9	9
31	-18.75001088642892	-2519.541354387756	10	2	vaudeville	discription	discription	10	11	11
32	145.88327921569638	-1888.1588317428404	7	24	circuit	shart	shart	7	5	5
33	163.39408493373722	112.26337226984394	4	233	said	surreptendental	surreptendental	4	15	15
34	171.19869615400526	130.091022446991	2	332	if	seconation	seconation	2	10	10
35	176.4563571356141	156.8798718853568	2	1239	an	matering	matering	2	8	8
36	163.80939689420796	-120.9948305751713	3	94	act	resite	resite	3	6	6
37	164.92396554758517	128.0059926638819	5	333	would	line	line	5	4	4
38	127.31236693429238	-2248.504988881884	7	8	succeed	altini	altini	7	6	6
39	180.12484338880228	166.02796223936716	2	9309	in	ball	ball	2	4	4
40	-inf	-inf	6	1	peoria	newstorm	newstorm	6	8	8
41	171.54990398912403	123.93936399651292	4	218	work	metrance	metrance	4	8	8
42	145.1972307903762	-2139.850934354055	8	11	anywhere	starland	starland	8	8	8
43	137.36426582235632	40.156421463666426	7	117	episode	tine	tine	7	4	4
44	44.58857428316073	-2393.452160384431	10	5	camouflage	stritus	stritus	10	7	7
45	128.32115937808294	-1910.3262908407405	9	21	challenge	subregents	subregents	9	10	10
46	-inf	-inf	5	1	dhoom	teers	teers	5	5	5
47	182.26174296024595	162.26825774241345	2	5374	is	communicate	communicate	2	11	11
48	93.25664308612522	-2352.8521561732523	5	6	hindi	proguins	proguins	5	8	8
49	157.19391499784157	75.22704523836637	8	125	language	comminist	comminist	8	9	9
50	161.21568938829336	-961.6032913907528	6	62	action	trum	trum	6	4	4
51	39.02210400538507	-2458.323375008425	8	2	thriller	designed	designed	8	8	8
52	141.34700978209068	90.00960715011243	5	231	movie	moning	moning	5	6	6
53	174.32836213790148	147.1537396047343	4	446	only	dun	dun	4	3	3
54	173.5865638164776	144.4279157586047	4	557	made	aboritions	aboritions	4	10	10
55	135.20971119990566	-1236.5080561248035	3	48	map	contentate	contentate	3	10	10
56	183.82784724794925	170.59504942596078	2	11182	of	reseance	reseance	2	8	8
57	176.1567716129783	148.32388932037165	5	598	about	marto	marto	5	5	5
58	-inf	-inf	8	1	mercurys	auto	auto	8	4	4
59	152.22393008426158	-1144.569782218846	7	53	surface	corrand	corrand	7	7	7
60	182.35893379590155	163.2013129600539	4	1785	from	stal	stal	4	4	4
61	191.4696885839959	174.19490249249395	2	6985	to	striker	striker	2	7	7
62	141.36247446205627	2.6222789436663865	4	104	park	contentable	contentable	4	11	11
63	155.24270165488147	-2006.4126773894068	8	16	extended	spanter	spanter	8	7	7
64	164.38297692103112	72.96603630094481	7	110	include	stire	stire	7	5	5
65	149.6105092389745	-1714.6027141054376	6	29	nearby	grands	grands	6	6	6
66	174.2903333341427	115.94762046448828	5	153	parts	mariers	mariers	5	7	7
67	137.62698927153673	-940.9048623120888	5	60	ocean	arguinians	arguinians	5	10	10
68	165.22959385264167	150.72917436143396	3	9284	and	burna	burna	3	5	5
69	181.8775254630512	145.26814635079324	4	381	part	cintons	cintons	4	7	7
70	113.49464786781915	-2315.9502650838817	6	5	flores	constect	constect	6	8	8
71	32.50606385360877	-2465.8032895627493	9	2	woodlands	eligine	eligine	9	7	7
72	157.89300658740322	-1680.6157586635873	9	30	northwest	serview	serview	9	7	7
73	98.49340198427878	-2160.1959067869684	7	12	indiana	brokning	brokning	7	8	8
74	181.7686122899128	153.07278332259474	4	472	been	wind	wind	4	4	4
75	162.83248040285895	-2052.863694090355	9	14	preserved	tentially	tentially	9	9	9
76	86.54061875620323	-2372.117296437881	5	4	dunes	fill	fill	5	4	4
77	27.886992340849247	-2441.8765447218643	8	3	albanian	austrant	austrant	8	8	8
78	122.26203172622928	67.66345186114246	7	214	english	anabuth	anabuth	7	7	7
79	92.51575833654272	-2364.1040241812043	9	4	imaginary	part	part	9	4	4
80	163.52442852103434	119.25870126880206	7	226	usually	strip	strip	7	5	5
81	168.2263076163925	114.47874799597253	6	188	person	cornest	cornest	6	7	7
82	171.54545720570331	141.92465829127516	3	660	who	althandor	althandor	3	9	9
83	39.48543902542155	-2415.768984453124	6	4	atopic	seare	seare	6	5	5
84	144.53403266798026	-2237.934974227572	8	7	develops	contribitation	contribitation	8	14	14
85	35.50293171381476	-2441.3772287026886	8	3	allergic	angers	angers	8	6	6
86	-inf	-inf	8	1	rhinitis	warder	warder	8	6	6
87	179.45089153521317	155.68156020977375	5	888	which	conterrorgental	conterrorgental	5	15	15
88	123.0037970269842	-2137.0426714882487	7	12	affects	enterpers	enterpers	7	9	9
89	-inf	-inf	5	1	nasal	cants	cants	5	5	5
90	65.94897361677674	-2436.0599878865746	8	2	passages	state	state	8	5	5
91	183.14145760904967	160.0063435107142	3	2167	are	carlone	carlone	3	7	7
92	162.99027517295616	-1076.2886590637868	6	55	behind	motus	motus	6	5	5
93	136.8759891903611	-2050.306707434172	4	15	nose	strikes	strikes	4	7	7
94	169.1488830935137	141.55885630222068	4	1509	they	shane	shane	4	5	5
95	177.90476475223412	148.9916483420859	4	510	more	winding	winding	4	7	7
96	160.93843684476803	-1498.9078626827643	6	36	likely	mara	mara	6	4	4
97	172.9258862718127	122.741462438485	3	188	get	demi	demi	3	4	4
98	-inf	-inf	10	1	dermatitis	supermanic	supermanic	10	10	10
99	164.02862111547097	-1223.596417247517	6	48	causes	cantal	cantal	6	6	6
100	149.38293078846317	-1368.8041261634764	4	42	skin	partherant	partherant	4	10	10
101	-inf	-inf	6	1	rashes	constant	constant	6	8	8
102	82.43205504082005	-2198.282604297627	6	11	asthma	table	table	6	5	5
103	141.29336220191112	90.2776270074558	2	240	us	stanian	stanian	2	7	7
104	152.5115401109525	-1654.2703173494083	12	34	distribution	clandina	clandina	12	8	8
105	121.70132976030273	-598.6168252906699	2	78	co	sing	sing	2	4	4
106	145.65604197876436	-749.2472270996067	10	71	production	mart	mart	10	4	4
107	-6.255308949623455	-2504.57873930244	8	2	polygram	godester	godester	8	8	8
108	134.4682540920611	-2148.606636552469	6	11	filmed	parane	parane	6	6	6
109	133.09494648355863	-1141.7613966800116	13	56	entertainment	stratical	stratical	13	9	9
110	125.76989443867885	-2328.6516615785767	6	4	mutual	sear	shart	6	4	5
111	154.78222842615534	76.76233773212552	4	133	film	communism	sear	4	9	4
112	147.53207826537934	80.74814600971865	7	136	company	learly	communism	7	6	9
113	-inf	-inf	8	1	marubeni	content	learly	8	7	6
114	133.84339296633425	-1777.059858340794	3	26	bbc	barlow	content	3	6	7
115	137.42303160622552	-1058.8036703081882	5	66	films	prevented	barlow	5	9	6
116	72.0808017748031	-2406.2205162743585	4	3	tele	inficental	prevented	4	10	9
117	-inf	-inf	7	1	munchen	mont	inficental	7	4	10
118	-inf	-inf	6	1	gruppe	carra	mont	6	5	4
119	-inf	-inf	7	1	nordisk	colons	carra	7	6	5
120	54.253201262150576	-2441.580127424219	4	2	toho	boy	colons	4	3	6
121	-inf	-inf	9	1	lionsgate	pressing	boy	9	8	3
122	140.09213630627838	-2040.020304394212	11	16	distributed	remane	pressing	11	6	8
123	106.62932058316896	-2249.1566000424864	3	8	blu	segonal	remane	3	7	6
124	143.31604327940258	-1523.457371154488	3	37	ray	tound	segonal	3	5	7
125	164.13152452685762	-860.7526511708519	5	65	shown	north	tound	5	5	5
126	146.7848645542451	60.560767723053054	6	120	father	angert	north	6	6	5
127	136.27679613131025	-940.0975086573528	7	61	brother	defention	angert	7	9	6
128	147.748440695332	93.37081418290217	4	225	died	expertive	defention	4	9	9
129	55.48319366389725	-2420.0344869296578	9	3	holocaust	crows	expertive	9	5	9
130	-inf	-inf	5	1	koror	subder	crows	5	6	5
131	174.49649237738498	145.24965579885827	3	853	had	tentions	subder	3	8	6
132	152.76848494306392	101.90215412355371	7	201	started	comparate	tentions	7	9	8
