	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	3	24527	the	angressance	angressance	11	11
1	1	12	5	caterpillars	reling	reling	6	6
2	2	4	1090	also	artania	artania	7	7
3	3	4	1036	have	polympic	polympic	8	8
4	4	7	11	colours	prince	prince	6	6
5	5	4	2147	with	starter	starter	7	7
6	6	7	92	similar	resounce	resounce	8	8
7	7	9	13	functions	contained	contained	9	9
8	8	3	1604	his	execution	execution	9	9
9	9	5	819	first	barismanism	barismanism	11	11
10	10	5	48	drama	film	film	4	4
11	11	2	2302	as	abstantal	abstantal	9	9
12	12	9	17	principal	fandine	fandine	7	7
13	13	3	4087	was	minaging	minaging	8	8
14	14	19	1	jitennsyasyounennki	campage	campage	7	7
15	15	4	37	note	continetal	continetal	10	10
16	16	4	2276	that	turner	turner	6	6
17	17	6	40	comedy	trick	trick	5	5
18	18	4	159	does	parting	parting	7	7
19	19	3	1238	not	filled	filled	6	6
20	20	4	39	mean	intendates	intendates	10	10
21	21	5	5	funny	boret	boret	5	5
22	22	4	64	here	reed	reed	4	4
23	23	3	767	but	phanton	phanton	7	7
24	24	6	39	rather	dest	dest	4	4
25	25	2	2737	it	creeting	creeting	8	8
26	26	3	981	has	segent	segent	6	6
27	27	1	7752	a	still	still	5	5
28	28	8	23	positive	permongeration	permongeration	14	14
29	29	6	17	ending	connentantal	connentantal	12	12
30	30	2	2631	on	recoverse	recoverse	9	9
31	31	10	2	vaudeville	discription	discription	11	11
32	32	7	27	circuit	shart	shart	5	5
33	33	4	235	said	surreptendental	surreptendental	15	15
34	34	2	333	if	seconation	seconation	10	10
35	35	2	1240	an	matering	matering	8	8
36	36	3	96	act	resite	resite	6	6
37	37	5	333	would	line	line	4	4
38	38	7	8	succeed	altini	altini	6	6
39	39	2	9342	in	ball	ball	4	4
40	40	6	2	peoria	newstorm	newstorm	8	8
41	41	4	219	work	metrance	metrance	8	8
42	42	8	11	anywhere	starland	starland	8	8
43	43	7	129	episode	tine	tine	4	4
44	44	10	5	camouflage	stritus	stritus	7	7
45	45	9	22	challenge	subregents	subregents	10	10
46	46	8	33	princess	teers	teers	5	5
47	47	12	17	commonwealth	communicate	communicate	11	11
48	48	5	1	dhoom	proguins	proguins	8	8
49	49	2	5378	is	comminist	comminist	9	9
50	50	5	7	hindi	trum	trum	4	4
51	51	8	128	language	designed	designed	8	8
52	52	6	67	action	moning	moning	6	6
53	53	8	2	thriller	dun	dun	3	3
54	54	5	249	movie	aboritions	aboritions	10	10
55	55	7	54	chicago	contentate	contentate	10	10
56	56	10	9	blackhawks	reseance	reseance	8	8
57	57	7	1	kooyong	marto	marto	5	5
58	58	3	5	vic	auto	auto	4	4
59	59	4	449	only	corrand	corrand	7	7
60	60	4	558	made	stal	stal	4	4
61	61	3	48	map	striker	striker	7	7
62	62	2	11216	of	contentable	contentable	11	11
63	63	5	598	about	spanter	spanter	7	7
64	64	8	1	mercurys	stire	stire	5	5
65	65	7	53	surface	grands	grands	6	6
66	66	4	1791	from	mariers	mariers	7	7
67	67	2	7025	to	arguinians	arguinians	10	10
68	68	4	119	park	burna	burna	5	5
69	69	8	17	extended	cintons	cintons	7	7
70	70	7	114	include	constect	constect	8	8
71	71	6	29	nearby	eligine	eligine	7	7
72	72	5	154	parts	serview	serview	7	7
73	73	5	63	ocean	brokning	brokning	8	8
74	74	3	9308	and	wind	wind	4	4
