idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	182.39799724728792	169.0840827887662	3	24766	the	cast	cast	3	4	4
1	158.3023858343498	-532.6810160473885	8	77	official	concled	concled	8	7	7
2	128.5700361600771	-2183.743233891688	7	10	partner	carroness	carroness	7	9	9
3	184.2102706221302	170.94875084442234	2	11395	of	partical	partical	2	8	8
4	126.97088918962883	-2083.0322549395914	6	14	coffee	bradus	bradus	6	6	6
5	149.2233969298004	-1913.8918264316253	7	21	morning	commanned	commanned	7	9	9
6	181.92074951872723	161.76588958795983	2	5214	is	classe	classe	2	6	6
7	153.13355045225862	-1985.44376091532	5	17	marks	specks	specks	5	6	6
8	60.75548280185785	-2380.0690649888816	7	5	spencer	explains	explains	7	8	8
9	136.61941859249794	-2149.825157919676	9	11	landscape	marren	marren	9	6	6
10	183.00698643813192	164.18931942882668	4	1815	from	deal	deal	4	4	4
11	-146.38618400404337	-2645.773343100911	8	2	hvitsten	camps	camps	8	5	5
12	151.84954173952897	-1585.9953001276012	6	33	follow	cantino	cantino	6	7	7
13	152.5076766926835	-395.8479037120274	2	87	my	special	special	2	7	7
14	175.62806667527948	-900.6716018693909	4	60	lead	continuumental	continuumental	4	14	14
15	169.57623659126725	-261.64934727708174	4	90	once	continuoning	continuoning	4	12	12
16	168.3936673736001	142.22268280374044	4	1614	they	steem	steem	4	5	5
17	151.3498619698509	-1737.2336716670786	9	28	increased	conducted	conducted	9	9	9
18	179.71526601784188	165.4034268656132	2	9443	in	reached	reached	2	7	7
19	165.01621428978558	-931.5310992731102	4	67	size	andire	andire	4	6	6
20	162.3565975286155	126.94027275519676	5	366	would	concemental	concemental	5	11	11
21	183.03740948113892	153.61792430752843	4	931	have	cassorias	cassorias	4	9	9
22	180.5417183276041	152.31053130512328	4	480	been	texher	texher	4	6	6
23	151.8978950057843	-1851.5539593799235	6	28	direct	carbons	carbons	6	7	7
24	116.9273775514822	-2339.212866183622	11	4	competitors	comparette	comparette	11	10	10
25	-inf	-inf	11	1	mesonychids	fouse	fouse	11	5	5
26	138.7262583482932	60.00563397805138	6	134	island	rable	rable	6	5	5
27	180.98615451810247	159.5299953256719	3	975	one	membra	membra	3	6	6
28	138.22789940537382	-1476.911293621929	6	39	worlds	contrection	contrection	6	11	11
29	169.52742103564637	108.57627223930874	4	290	best	depire	depire	4	6	6
30	109.11004236677272	-2287.768019150529	6	7	diving	fiets	fiets	6	5	5
31	148.09681975980936	-2083.946765373632	5	13	spots	callect	callect	5	7	7
