	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	4	1522	they	compare	compare	7	7
1	1	3	2226	are	rans	rans	4	4
2	2	4	573	made	apporting	apporting	9	9
3	3	2	11365	of	consumer	consumer	8	8
4	4	8	15	proteins	mels	mels	4	4
5	5	8	2	peptides	choles	choles	6	6
6	6	2	1303	or	desternation	desternation	12	12
7	7	13	1	glycoproteins	all	all	3	3
8	8	4	155	east	atarches	atarches	8	8
9	9	10	1	middletown	daring	daring	6	6
10	10	7	91	elected	addition	addition	8	8
11	11	2	7010	to	charcher	charcher	8	8
12	12	6	23	finish	teate	teate	5	5
13	13	9	1	trumbulls	castalligate	castalligate	12	12
14	14	4	108	term	servation	servation	9	9
15	15	2	9623	in	aback	aback	5	5
16	16	5	89	words	reaction	reaction	8	8
17	17	4	381	like	deprector	deprector	9	9
18	18	6	28	colour	shitling	shitling	8	8
19	19	9	9	favourite	theological	theological	11	11
20	20	3	51	our	burnow	burnow	6	6
21	21	2	5271	is	suppired	suppired	8	8
22	22	3	25003	the	russile	russile	7	7
23	23	4	2	norm	contrances	contrances	10	10
24	24	3	740	but	conton	conton	6	6
25	25	5	775	there	thela	thela	5	5
26	26	10	4	exceptions	warline	warline	7	7
27	27	4	302	such	companing	companing	9	9
28	28	2	2266	as	deect	deect	5	5
29	29	5	18	labor	night	night	5	5
30	30	5	202	party	simatory	simatory	8	8
31	31	5	907	which	peral	peral	5	5
32	32	3	4155	was	dence	dence	5	5
33	33	12	6	deliberately	claws	claws	5	5
34	34	6	33	chosen	reports	reports	7	7
35	35	2	2616	on	arread	arread	6	6
36	36	9	23	formation	consector	consector	9	9
37	37	5	21	avoid	ward	ward	4	4
38	38	9	9	confusion	called	called	6	6
39	39	4	2244	with	bass	bass	4	4
40	40	7	158	british	party	party	5	5
41	41	6	21	labour	contained	contained	9	9
42	42	6	13	victor	decalated	decalated	9	9
43	43	6	15	harbor	sincess	sincess	7	7
44	44	3	9246	and	sumpers	sumpers	7	7
45	45	5	22	outer	commandate	commandate	10	10
46	46	14	2	geographically	prover	prover	6	6
47	47	6	16	unique	surrub	surrub	6	6
48	48	5	304	state	influed	influed	7	7
49	49	5	339	south	hails	hails	5	5
50	50	9	115	australia	relation	relation	8	8
51	51	7	8	opposed	provent	provent	7	7
52	52	5	184	place	permanted	permanted	9	9
53	53	5	45	names	inferedaation	inferedaation	13	13
54	54	5	747	other	additor	additor	7	7
55	55	6	451	states	sangalia	sangalia	8	8
56	56	2	16	eg	repurces	repurces	8	8
57	57	4	22	boat	candital	candital	8	8
58	58	7	13	harbour	malling	malling	7	7
59	59	5	3	coffs	guing	guing	5	5
60	60	1	81	r	stop	stop	4	4
