idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	160.2554923623306	-305.2867656959754	1	87	0	olevaan	olevaan	1	7	7
1	-28.77361931635651	-2528.521198945165	1	2	1	valmistanut	valmistanut	1	11	11
2	112.39476240524202	-1450.9724560049629	1	40	2	seuraavat	seuraavat	1	9	9
3	105.67481411915794	-2206.147389836438	1	10	3	suomesta	suomesta	1	8	8
4	96.39656749118012	-1744.1854996728125	1	29	4	lainettiin	lainettiin	1	10	10
5	10.572544030812711	-2490.025190245892	1	2	5	saattueen	saattueen	1	9	9
6	125.74782562492014	-301.9891272681782	1	87	6	vieraista	vieraista	1	9	9
7	170.85489595562447	155.00756734036358	1	19485	7	välisestä	välisestä	1	9	9
8	-inf	-inf	1	1	8	piiri	piiri	1	5	5
9	115.027214162743	-2117.375085250018	1	13	9	tulokseen	tulokseen	1	9	9
10	151.37829276583037	115.79573761620208	2	428	10	toimitta	toimitta	2	8	8
11	121.42822681417742	56.20737589882114	2	205	11	tuloksen	tuloksen	2	8	8
12	151.49016679228603	89.58407718736795	2	357	12	kohtauksen	kohtauksen	2	10	10
13	149.1208567457724	94.77910686871611	2	638	13	kuntainen	kuntainen	2	9	9
14	138.41513760529875	-537.896378700198	2	77	14	kalonut	kalonut	2	7	7
15	155.61811364035205	96.63939995962546	2	211	15	järjestettiin	suomesta	2	13	8
16	162.03987427878656	93.50100071067044	2	234	16	soittamaan	järjestettiin	2	10	13
17	41.60504126977204	-2432.6656161427545	2	3	17	toimitti	soittamaan	2	8	10
18	134.15719939040457	68.10991485536807	2	141	18	tunnetui	toimitti	2	8	8
19	109.27129330022169	-2125.7530232129257	2	13	19	lantoen	tunnetui	2	7	8
20	65.77809715832429	-2407.050996780225	2	3	20	kansakuntaan	lantoen	2	12	7
21	158.9742243651251	88.7989819569824	2	232	21	arvon	kansakuntaan	2	5	12
22	111.96615412206776	-2245.309308638628	2	8	22	punaisen	arvon	2	8	5
23	123.60842748952471	-144.37713069871234	2	94	23	tarvisteri	punaisen	2	10	8
24	133.49246030345688	-1631.6154483429812	2	32	24	maailmansee	tarvisteri	2	11	10
25	158.43971879657798	113.71931489163704	2	1223	25	maakautomaan	maailmansee	2	12	11
26	157.44175713220818	129.5437500194134	2	1178	26	keski	maakautomaan	2	5	12
27	144.40515299700726	102.28874137202976	2	336	27	laivat	keski	2	6	5
28	13.231398564874148	-2485.098332764031	2	2	28	alkupuolella	laivat	2	12	6
29	159.0773148936359	111.62543208151044	2	513	29	nomen	alkupuolella	2	5	12
30	-inf	-inf	2	1	30	pienenmään	nomen	2	10	5
31	108.97703511217904	-2250.53102572848	2	8	31	valtustaa	pienenmään	2	9	10
32	-inf	-inf	2	1	32	valmasta	valtustaa	2	8	9
33	121.21252479760408	49.72541247281591	2	211	33	marmean	valmasta	2	7	8
34	-inf	-inf	2	1	34	käyttää	marmean	2	7	7
35	146.5449143597613	60.35697058437323	2	152	35	palattu	käyttää	2	7	7
36	54.428150269775465	-2422.241756188664	2	3	36	pohjoiseta	palattu	2	10	7
37	124.78861921902636	-2084.870722965626	2	14	37	konsien	pohjoiseta	2	7	10
38	73.3110363281222	-2358.6367207136605	2	5	38	laajenteita	konsien	2	11	7
39	108.32716633315556	-414.0928180841824	2	83	39	alkuperäisensä	laajenteita	2	14	11
40	131.93445708653985	-325.3223077322497	2	86	40	tuhon	alkuperäisensä	2	5	14
41	95.57840336932831	-2307.400402965571	2	6	41	kunninkaan	tuhon	2	10	5
