idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	152.88730431689203	116.72260629558896	1	439	0	kunnistamaan	kunnistamaan	1	12	12
1	124.82771569108168	-1709.1818645939068	1	29	1	elämänsä	elämänsä	1	8	8
2	131.97732892174693	46.95601424614005	1	119	2	tohtama	tohtama	1	7	7
3	121.39957588040488	-1543.127030795681	1	36	3	kuusi	kuusi	1	5	5
4	103.76540494310836	-2272.9223344971	1	7	4	vanhaa	vanhaa	1	6	6
5	131.14830099980543	81.6128582575725	1	265	5	linnutti	linnutti	1	8	8
6	134.1008551222595	88.54191061411157	1	380	6	kiinnittiin	kiinnittiin	1	11	11
7	135.93376641520533	34.54722683142232	1	117	7	kokoon	kokoon	1	6	6
8	127.02690325108426	19.02727755947291	1	104	8	valtasi	valtasi	1	7	7
9	167.81398952990796	136.4566076562203	1	2750	9	läheteen	läheteen	1	8	8
10	150.18891028346664	-462.8349066728568	2	80	10	tuottainen	tuottainen	2	10	10
11	144.26328519624116	-153.06375403363694	2	93	11	valtavat	valtavat	2	8	8
12	114.2630278277604	57.44365341543775	2	197	12	edustettiin	edustettiin	2	11	11
13	40.5142447463277	-2434.697308919462	2	3	13	tehopistein	tehopistein	2	11	11
14	-inf	-inf	2	1	14	tapahtumassa	tapahtumassa	2	12	12
15	117.55024643018145	-1202.3480194347524	2	50	15	markki	markki	2	6	6
16	-inf	-inf	2	1	16	rammandian	rammandian	2	10	10
17	141.55735144340193	-986.2800915869664	2	58	17	opiskelijat	opiskelijat	2	11	11
18	148.9088530441232	115.93177288430142	2	868	18	toimitus	toimitus	2	8	8
19	112.58088890931178	-2000.071191012629	2	18	19	opiskalle	opiskalle	2	9	9
20	155.5639047088001	121.17552859269531	2	2170	20	kulma	kulma	2	5	5
21	148.43358655570046	-1466.4108372616597	2	38	21	alkapallo	alkapallo	2	9	9
22	8.250393003026863	-2489.9758361623167	2	2	22	matlin	matlin	2	6	6
23	-inf	-inf	2	1	23	lukemaan	lukemaan	2	8	8
24	-inf	-inf	2	1	24	taloudellista	taloudellista	2	13	13
25	113.09451440818296	-914.9714075192982	2	62	25	ortetta	ortetta	2	7	7
26	75.5303664961938	-2382.419687041433	2	4	26	koskaan	koskaan	2	7	7
27	154.48380963382303	107.96883437401058	2	390	27	tavallisia	tavallisia	2	10	10
28	126.06295287574908	-924.0112497667782	2	61	28	osis	osis	2	4	4
29	118.70515533414502	-1420.7096472030116	2	41	29	kantaa	kantaa	2	6	6
30	143.14654818560186	92.9947001806193	2	277	30	aikakaudella	aikakaudella	2	12	12
31	139.09337113896373	69.38683961120505	2	178	31	tulin	tulin	2	5	5
32	136.80780150894702	-512.851539612976	2	78	32	satua	satua	2	5	5
33	107.74777466859445	-2292.3174460398136	2	6	33	kuussa	kuussa	2	6	6
34	-inf	-inf	2	1	34	keski	keski	2	5	5
35	155.93032406542235	134.3254702427522	2	1361	35	hallitsija	hallitsija	2	10	10
36	87.78483756282928	-2372.036258347199	2	4	36	katemma	katemma	2	7	7
37	119.90861562837776	-2188.8607294438066	2	10	37	maalaisten	maalaisten	2	10	10
38	132.48374490789394	-873.515036954663	2	63	38	käyttävät	käyttävät	2	9	9
39	126.86391322906977	-947.8457297269404	2	60	39	maalaukseen	maalaukseen	2	11	11
40	92.48261659179086	-2314.9228998280314	2	6	40	tapahtemaan	tapahtemaan	2	11	11
41	166.44845278550207	152.02768191599435	2	4938	41	valtitustaa	valtitustaa	2	11	11
42	67.5781583890941	-2390.1512855764613	2	4	42	käynyt	käynyt	2	6	6
43	134.27202326328782	66.86654727574411	2	195	43	tulottua	tulottua	2	8	8
44	145.86515086843426	97.31852522720868	2	229	44	keskey	keskey	2	6	6
45	103.75284608201174	-2235.775093806356	2	9	45	valtaukseen	valtaukseen	2	11	11
46	131.46679635886886	-2072.1237319428374	2	14	46	alansopimuksesta	alansopimuksesta	2	16	16
47	150.42996116691594	92.16435156211551	2	223	47	suosion	suosion	2	7	7
48	97.9611968556696	-2234.696220665948	2	9	48	valittaa	valittaa	2	8	8
49	70.48409833385831	-2387.866703403816	2	4	49	puolellä	puolellä	2	8	8
50	131.94809462282265	-2001.459052990396	2	17	50	katsasi	katsasi	2	7	7
51	-inf	-inf	2	1	51	maattavat	maattavat	2	9	9
52	87.05175669801233	-2199.9398612925133	2	11	52	arvion	arvion	2	6	6
53	133.2128412786557	73.82516756412842	2	342	53	tapantui	tapantui	2	8	8
54	127.65903993087318	-241.45322802685467	2	92	54	konsaristi	konsaristi	2	10	10
55	124.0096946587954	46.17237230679987	2	126	55	valtanut	valtanut	2	8	8
56	156.50613849084553	122.49686723434654	2	548	56	kolmannellaan	kolmannellaan	2	13	13
57	102.0298385822733	-1858.132234344437	2	24	57	kansainvälisiä	kansainvälisiä	2	14	14
58	156.37602604823118	120.39646130263532	2	415	58	kauppala	kauppala	2	8	8
59	120.52030150718733	-1488.126011800752	2	38	59	pelatus	pelatus	2	7	7
60	120.72504066166404	59.88502028534448	2	152	60	kokonaisen	kokonaisen	2	10	10
61	118.5542618838616	-622.5054872286039	2	74	61	toimista	toimista	2	8	8
62	147.59958351963482	82.24691240252315	2	223	62	kylistä	kylistä	2	7	7
63	61.48768861894721	-2412.2047807432496	2	3	63	sanottu	sanottu	2	7	7
64	139.07898513418436	32.468971489673805	2	107	64	tehopistettä	tehopistettä	2	12	12
65	0.8174915836955957	-2499.1305646166	2	2	65	kuvattiin	kuvattiin	2	9	9
66	144.87487201304378	32.74815163212368	2	112	66	tuloksella	tuloksella	2	10	10
67	83.57432803545944	-2247.356592813941	2	9	67	tukistui	tukistui	2	8	8
68	136.6368755194911	-874.9910504525474	2	63	68	liikkeestä	liikkeestä	2	10	10
69	124.99650634394447	-660.4681010791335	2	72	69	kulumaan	kulumaan	2	8	8
70	-inf	-inf	2	1	70	katsoin	katsoin	2	7	7
71	136.806843909547	87.33509561133194	2	200	71	valittua	valittua	2	8	8
72	155.21651626439171	81.76714687854779	2	186	72	tanssi	tanssi	2	6	6
73	111.87918868690188	-888.5821930805673	2	63	73	taime	valtanut	2	5	8
74	137.39471087914265	-1187.1869886567054	2	50	74	opiskelija	taime	2	10	5
75	106.05602673547682	-2322.7046406297472	2	5	75	sijoittuu	opiskelija	2	9	10
76	146.48630267234725	67.40606954337781	2	170	76	venäjalla	sijoittuu	2	9	9
77	95.62286019664576	-2310.498814777037	2	6	77	valmentajana	venäjalla	2	12	9
78	151.70732171829383	98.3108829652975	2	362	78	alkuperäin	valmentajana	2	10	12
79	134.49631065379225	-397.81485263278176	2	83	79	sijaitsevaa	alkuperäin	2	11	10
80	130.34376340734678	-1630.851917186181	2	32	80	halusta	sijaitsevaa	2	7	11
81	119.46797681481036	-1786.1620068278626	2	26	81	valmistaja	halusta	2	10	7
82	126.2482318493154	-1391.441614850988	2	42	82	kuolemaan	valmistaja	2	9	10
83	141.64317216204367	-1160.598682647853	2	51	83	lakinnoille	kuolemaan	2	11	9
84	-inf	-inf	2	1	84	artinkaalin	lakinnoille	2	11	11
85	-inf	-inf	2	1	85	kalvi	artinkaalin	2	5	11
86	-inf	-inf	2	1	86	kauppaleista	kalvi	2	12	5
87	-31.61929103681357	-2526.479310383904	2	2	87	viittelu	kauppaleista	2	8	12
88	144.40616563085555	111.44387660424974	2	478	88	tullen	viittelu	2	6	8
89	-inf	-inf	2	1	89	nykyyn	tullen	2	6	6
90	-inf	-inf	2	1	90	alueilla	nykyyn	2	8	6
91	124.35291149202448	-1670.27525039423	2	31	91	suomalaisten	alueilla	2	12	8
92	117.70757891091314	-1129.806610433272	2	53	92	tuotanton	suomalaisten	2	9	12
93	108.90448870246148	-2245.6827189083565	2	8	93	kuoli	tuotanton	2	5	9
94	112.89843767586488	-244.59037164826336	2	90	94	kulkinnan	kuoli	2	9	5
95	103.083990418333	-2281.7147569846807	2	7	95	sotilaallisen	kulkinnan	2	13	9
96	148.39217863681753	127.52061247226398	2	4384	96	muuttavat	sotilaallisen	2	9	13
97	117.63663950708523	-2192.878069457335	2	10	97	osatus	muuttavat	2	6	9
98	60.17563435137605	-2393.2435250073645	2	4	98	kuvata	osatus	2	6	6
99	135.36959727903738	-217.18557360999657	2	91	99	vahanmaan	kuvata	2	9	6
100	89.63790797417862	-2199.575656130972	3	11	100	tuotteen	vahanmaan	3	8	9
101	159.6203508016658	140.91198983134308	3	2543	101	päättänyt	tuotteen	3	9	8
102	105.9594853063109	-1483.7133323183443	3	39	102	kappaleista	päättänyt	3	11	9
