	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	2	9541	in	communitions	communitions	12	12
1	1	10	11	geological	arronger	arronger	8	8
2	2	5	40	terms	carrel	carrel	6	6
3	3	3	25091	the	thooting	thooting	8	8
4	4	4	2	rift	serving	serving	7	7
5	5	2	5218	is	pertinging	pertinging	10	10
6	6	5	132	young	ment	ment	4	4
7	7	3	9420	and	dispont	dispont	7	7
8	8	6	40	active	protest	protest	7	7
9	9	2	2792	it	provision	provision	9	9
10	10	6	1	widens	initation	initation	9	9
11	11	5	587	about	nara	nara	4	4
12	12	3	655	two	struck	struck	6	6
13	13	2	35	cm	pener	pener	5	5
14	14	3	61	per	production	production	10	10
15	15	4	298	year	los	los	3	3
16	16	4	1411	this	canding	canding	7	7
17	17	4	601	time	adcediged	adcediged	9	9
18	18	3	10	nbc	turred	turred	6	6
19	19	3	763	had	tricks	tricks	6	6
20	20	10	143	television	sou	sou	3	3
21	21	8	30	stations	land	land	4	4
22	22	6	7	nicole	sangel	sangel	6	6
23	23	7	1	rochaix	altharge	altharge	8	8
24	24	7	1	salmona	stans	stans	5	5
25	25	6	59	womens	automatic	automatic	9	9
26	26	4	310	team	bushey	bushey	6	6
27	27	9	8	distances	pary	pary	4	4
28	28	4	1885	from	servance	servance	8	8
29	29	5	3	bourg	strain	strain	6	6
30	30	2	32	en	semetic	semetic	7	7
31	31	6	6	bresse	hinds	hinds	5	5
32	32	2	6930	to	servant	servant	7	7
33	33	5	733	other	anding	anding	6	6
34	34	6	77	cities	bell	bell	4	4
35	35	3	2164	are	contestrated	contestrated	12	12
36	36	3	756	but	action	action	6	6
37	37	10	38	eventually	pairs	pairs	5	5
38	38	8	5	berkeley	mone	mone	4	4
39	39	7	105	changed	factor	factor	6	6
40	40	3	1527	his	brading	brading	7	7
41	41	4	18	mind	commons	commons	7	7
42	42	4	41	told	bedies	bedies	6	6
43	43	5	3	bacon	supmillies	supmillies	10	10
44	44	4	57	keep	corrice	corrice	7	7
45	45	8	41	fighting	perses	perses	6	6
46	46	7	13	indians	pich	pich	4	4
47	47	3	150	man	deace	deace	5	5
48	48	7	79	working	general	general	7	7
49	49	2	1588	at	defultion	defultion	9	9
50	50	4	66	bank	reading	reading	7	7
51	51	7	2	grabbed	amin	amin	4	4
52	52	3	30	gun	engeration	engeration	10	10
53	53	5	13	fired	anton	anton	5	5
54	54	5	33	twice	feral	feral	5	5
55	55	7	7	carroll	chape	chape	5	5
56	56	6	31	scored	battens	battens	7	7
57	57	5	877	first	ending	ending	6	6
58	58	6	21	senior	ather	ather	5	5
59	59	4	50	goal	douches	douches	7	7
60	60	3	2868	for	sauttent	sauttent	8	8
61	61	7	157	england	decention	decention	9	9
62	62	2	2721	on	election	election	8	8
63	63	5	164	march	mines	mines	5	5
64	64	4	138	body	caller	caller	6	6
65	65	4	56	mass	come	come	4	4
66	66	5	8	index	companication	companication	13	13
67	67	2	1256	or	composed	composed	8	8
68	68	3	2	bmi	sear	sear	4	4
69	69	1	7787	a	burring	burring	7	7
70	70	7	20	measure	triplised	triplised	9	9
71	71	5	969	which	origans	origans	7	7
72	72	5	97	shows	primisted	primisted	9	9
73	73	7	28	whether	destant	destant	7	7
74	74	6	915	people	shapping	shapping	8	8
75	75	4	964	have	countured	countured	9	9
76	76	5	124	right	gemplay	gemplay	7	7
77	77	6	26	weight	potes	potes	5	5
78	78	5	793	their	seal	seal	4	4
79	79	6	18	height	barge	barge	5	5
80	80	5	423	these	medial	medial	6	6
81	81	3	37	key	core	core	4	4
82	82	8	12	genetics	colloration	colloration	11	11
83	83	3	704	her	berman	berman	6	6
84	84	6	54	studio	stees	stees	5	5
85	85	5	175	album	tay	tay	3	3
86	86	6	38	nearly	sing	sing	4	4
87	87	5	352	three	panders	panders	7	7
88	88	5	405	years	shilking	shilking	8	8
89	89	5	751	after	hang	hang	4	4
90	90	4	315	kitt	senued	senued	6	6
91	91	4	355	peak	andor	andor	5	5
92	92	6	10	filmed	sells	sells	5	5
93	93	10	1	panavision	thills	thills	6	6
94	94	11	3	technicolor	proming	proming	7	7
95	95	8	28	location	player	player	6	6
96	96	6	5	oregon	powing	powing	6	6
97	97	2	60	mr	memb	memb	4	4
98	98	8	1	hogenson	ald	ald	3	3
99	99	3	13	ram	compated	compated	8	8
100	100	5	11	rebel	shait	shait	5	5
101	101	3	1161	not	infects	infects	7	7
102	102	4	124	just	carment	carment	7	7
103	103	5	1	decal	controlling	controlling	11	11
104	104	7	8	package	carriet	carriet	7	7
105	105	7	1	optimus	disterial	disterial	9	9
106	106	5	62	prime	domotion	domotion	8	8
107	107	10	1	brokentail	controlect	controlect	10	10
108	108	5	101	makes	divine	divine	6	6
109	109	4	67	look	dealing	dealing	7	7
110	110	4	379	like	appliotation	appliotation	12	12
111	111	7	185	another	challe	challe	6	6
112	112	4	3	clan	classes	classes	7	7
113	113	8	1	windclan	alpha	alpha	5	5
114	114	6	118	killed	standed	standed	7	7
115	115	10	1	raggedpelt	tumping	tumping	7	7
116	116	4	536	most	antitials	antitials	9	9
117	117	4	36	cell	berting	berting	7	7
118	118	4	32	wall	stores	stores	6	6
119	119	2	2607	he	eds	eds	3	3
120	120	5	4	cites	sharting	sharting	8	8
121	121	5	4	stony	communication	communication	13	13
122	122	5	4	skunk	discover	discover	8	8
123	123	4	1	epik	champing	champing	8	8
124	124	4	201	high	changing	changing	8	8
125	125	2	2283	as	linds	linds	5	5
126	126	12	1	inspirations	bride	bride	5	5
127	127	6	1	pursue	telectories	telectories	11	11
128	128	3	20	hip	state	state	5	5
129	129	3	16	hop	titute	titute	6	6
130	130	5	286	music	megt	megt	4	4
131	131	7	27	follows	cerries	cerries	7	7
132	132	4	26	path	celling	celling	7	7
133	133	2	11527	of	cornine	cornine	7	7
134	134	4	43	feet	merchain	merchain	8	8
135	135	9	19	movements	continents	continents	10	10
136	136	8	8	generate	subcession	subcession	10	10
137	137	5	104	light	carrounds	destant	9	7
138	138	5	12	touch	pearts	carrounds	6	9
139	139	6	53	ground	bash	pearts	4	6
140	140	4	131	love	bant	bash	4	4
141	141	2	97	my	berner	bant	6	4
142	142	4	115	side	rescopting	berner	10	6
143	143	4	84	blue	sate	rescopting	4	10
144	144	4	120	line	maruer	sate	6	4
145	145	13	13	concentration	contantinal	maruer	11	6
146	146	4	27	drug	round	contantinal	5	11
147	147	5	69	blood	sumprody	round	8	5
148	148	5	111	given	protectors	sumprody	10	8
149	149	6	14	moment	toot	protectors	4	10
150	150	5	331	later	thords	toot	6	4
151	151	3	831	she	granding	thords	8	6
152	152	6	95	worked	politication	granding	12	8
153	153	4	2156	with	instant	politication	7	12
154	154	5	97	human	steden	reading	6	7
155	155	6	86	rights	refuls	instant	6	7
156	156	6	113	office	steming	steden	7	6
157	157	6	491	united	adcine	refuls	6	6
158	158	7	48	nations	capo	steming	4	7
159	159	12	8	commissioner	person	adcine	6	6
160	160	7	6	estonia	reconduction	capo	12	4
161	161	8	9	platinum	garlieth	person	8	6
162	162	4	730	when	cantain	reconduction	7	12
163	163	4	55	goes	cartilianist	garlieth	12	8
164	164	4	455	into	golden	cantain	6	7
165	165	5	13	nerve	ballend	cartilianist	7	12
166	166	5	57	cells	engaria	golden	7	6
167	167	8	4	triggers	discopted	ballend	9	7
168	168	10	22	electrical	strit	engaria	5	7
169	169	8	3	impulses	ferg	discopted	4	9
170	170	4	2274	that	mesters	strit	7	5
171	171	4	19	send	entitine	ferg	8	4
172	172	8	10	messages	nome	mesters	4	7
173	173	6	137	famous	forts	entitine	5	8
174	174	8	1	onlyfans	wall	nome	4	4
175	175	8	3	accounts	archamish	forts	9	5
176	176	7	130	include	destruction	wall	11	4
177	177	5	1	cardi	push	archamish	4	9
178	178	1	119	b	compistant	destruction	10	11
