idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	142.800579629959	-306.5104530578588	5	90	today	hedra	hedra	5	5	5
1	182.3264744783083	169.08055145386237	3	24615	the	protectics	protectics	3	10	10
2	-32.3670385820961	-2534.660061990926	6	2	scouts	served	served	6	6	6
3	167.4504209577064	127.60636408050652	5	275	often	serian	serian	5	6	6
4	143.11503546051895	-2169.7442593380338	6	10	accept	hate	hate	6	4	4
5	136.47884960471112	-1578.1230613262785	5	35	girls	conference	conference	5	10	10
6	166.9198888763248	-326.4650119797995	3	84	too	siller	siller	3	6	6
7	141.43990793078072	92.17015530489492	2	251	us	andrected	andrected	2	9	9
8	179.8626922978839	165.8051507758517	2	9600	in	anterboards	anterboards	2	11	11
9	6.6379476460832905	-2449.043627935445	12	4	poughkeepsie	post	post	12	4	4
10	165.77605290335435	119.200973725646	5	262	group	develope	develope	5	8	8
11	148.59062185041148	85.21335714699077	5	149	began	staired	staired	5	7	7
12	191.78796380526623	174.756055017647	2	6958	to	possible	possible	2	8	8
13	143.2064917066642	-2166.186878626212	7	10	promote	archest	archest	7	7	7
14	135.66910575344556	74.55148278916872	5	175	album	bowler	bowler	5	6	6
15	105.0694682087898	22.311759660031576	7	150	january	fortons	fortons	7	7	7
16	179.1868032317155	160.10110367053966	2	2658	on	competed	competed	2	8	8
17	-13.91356981331329	-2491.207399433171	3	3	mbc	charlise	charlise	3	8	8
18	160.0312269856055	107.7566426917746	4	205	show	jarie	jarie	4	5	5
19	177.02588662704412	150.36655662085423	4	1084	also	debraits	debraits	4	8	8
20	169.8800597664203	143.48888906077465	4	1572	they	perports	perports	4	8	8
21	185.00074140960945	156.63303860273123	4	942	have	records	records	4	7	7
22	166.20568482726657	104.35584133852863	6	269	played	derena	derena	6	6	6
23	171.90254271989795	-19.95426272901933	5	99	every	bronks	bronks	5	6	6
24	101.02057284222758	-2080.4522717253044	6	15	friday	solutions	solutions	6	9	9
25	155.33237478490256	-415.0525676705667	5	87	night	lither	lither	5	6	6
26	164.63646558979084	127.6559173682666	6	350	during	lando	lando	6	5	5
27	155.35397030240608	99.43883116161928	6	192	school	wansford	wansford	6	8	8
28	168.89923582924365	122.1106606605459	4	278	year	toural	toural	4	6	6
29	184.9231868650988	163.73954533191923	2	2317	as	destrial	destrial	2	8	8
30	182.11228040561767	159.02337210087754	5	875	their	conferences	conferences	5	11	11
31	165.5477700119051	110.58924891005768	4	170	main	fanting	fanting	4	7	7
32	134.34233527440537	-1979.891978625994	8	18	audience	bride	bride	8	5	5
33	181.92208135237556	161.61985757658272	2	5197	is	supproads	supproads	2	9	9
34	59.84535061349187	-2245.0672050921576	9	10	edinburgh	construction	construction	9	12	12
35	138.02454711899364	84.31347000990881	10	256	university	carso	carso	10	5	5
36	151.9883055974123	-1265.049702490078	8	48	students	heart	heart	8	5	5
37	163.22698934188134	76.19443670393308	5	117	early	contestitation	contestitation	5	14	14
38	139.29758196273704	-1872.464841469811	2	23	ad	border	border	2	6	6
39	105.79708965633776	-1257.5918459204952	7	50	african	excepted	lando	7	8	5
40	117.39872558718768	-1871.405939638952	6	23	slaves	fred	excepted	6	4	8
41	178.5037046528229	155.8563200834208	4	1213	were	conterprite	fred	4	11	4
42	160.56514918900092	-1036.4406138402803	7	55	brought	descrew	conterprite	7	7	11
43	130.07049535787667	41.42837457211944	5	122	india	winnes	descrew	5	6	7
44	172.202821676582	153.8360031595958	2	2196	by	advince	winnes	2	7	6
45	137.12027609936905	-1868.6948343775127	4	24	arab	weekerns	advince	4	8	7
46	143.76296702696314	-2239.1240635496465	9	7	merchants	sin	weekerns	9	3	8
47	144.73630627917422	-2065.189027813239	8	14	medieval	surved	sin	8	6	3
