	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	5	90	today	hedra	hedra	5	5
1	1	3	24714	the	protectics	protectics	10	10
2	2	6	3	scouts	served	served	6	6
3	3	5	275	often	serian	serian	6	6
4	4	6	10	accept	hate	hate	4	4
5	5	5	37	girls	conference	conference	10	10
6	6	3	84	too	siller	siller	6	6
7	7	2	274	us	andrected	andrected	9	9
8	8	2	9649	in	anterboards	anterboards	11	11
9	9	12	4	poughkeepsie	post	post	4	4
10	10	8	1	chilkoot	develope	develope	8	8
11	11	6	905	people	staired	staired	7	7
12	12	3	6	jsl	possible	possible	8	8
13	13	8	106	division	archest	archest	7	7
14	14	5	280	group	bowler	bowler	6	6
15	15	5	149	began	fortons	fortons	7	7
16	16	2	6982	to	competed	competed	8	8
17	17	7	10	promote	charlise	charlise	8	8
18	18	5	180	album	jarie	jarie	5	5
19	19	7	153	january	debraits	debraits	8	8
20	20	2	2661	on	perports	perports	8	8
21	21	3	3	mbc	records	records	7	7
22	22	4	212	show	derena	derena	6	6
23	23	4	1087	also	bronks	bronks	6	6
24	24	4	1573	they	solutions	solutions	9	9
25	25	4	943	have	lither	lither	6	6
26	26	6	269	played	lando	lando	5	5
27	27	5	99	every	wansford	wansford	8	8
28	28	6	16	friday	toural	toural	6	6
29	29	5	92	night	destrial	destrial	8	8
30	30	6	350	during	conferences	conferences	11	11
31	31	6	192	school	fanting	fanting	7	7
32	32	4	283	year	bride	bride	5	5
33	33	2	2324	as	supproads	supproads	9	9
34	34	5	875	their	construction	construction	12	12
35	35	4	173	main	carso	carso	5	5
36	36	8	18	audience	heart	heart	5	5
37	37	2	5197	is	contestitation	contestitation	14	14
38	38	9	11	edinburgh	border	border	6	6
39	39	10	268	university	excepted	lando	8	5
40	40	8	48	students	fred	excepted	4	8
41	41	5	117	early	conterprite	fred	11	4
42	42	2	23	ad	descrew	conterprite	7	11
43	43	7	51	african	winnes	descrew	6	7
44	44	6	23	slaves	advince	winnes	7	6
45	45	4	1215	were	weekerns	advince	8	7
46	46	7	55	brought	sin	weekerns	3	8
47	47	5	136	india	surved	sin	6	3
48	48	2	2209	by	speckrated	surved	10	6
49	49	4	27	arab	convected	speckrated	9	10
50	50	9	7	merchants	crownew	convected	7	9
51	51	8	14	medieval	heritary	crownew	8	7
52	52	5	177	times	descour	heritary	7	8
53	53	4	1860	from	barious	descour	7	7
54	54	5	2	bantu	boards	barious	6	7
55	55	8	31	speaking	fechers	boards	7	6
56	56	5	131	parts	relarations	fechers	11	7
57	57	2	11381	of	disservated	relarations	11	11
58	58	7	81	eastern	collicians	disservated	10	11
59	59	6	73	africa	couple	collicians	6	10
60	60	12	30	philadelphia	darance	couple	7	6
61	61	6	12	flyers	hand	darance	4	7
62	62	4	2373	that	georgan	hand	7	4
63	63	7	155	company	carses	georgan	6	7
64	64	3	4148	was	stede	carses	5	6
65	65	7	61	founded	supperinc	stede	9	5
66	66	5	31	steve	come	supperinc	4	9
67	67	4	25	jobs	experis	come	7	4
68	68	9	114	following	treated	experis	7	7
69	69	3	1612	his	negulas	treated	7	7
70	70	9	7	departure	anter	negulas	5	7
71	71	5	22	apple	reals	anter	5	5
72	72	4	26	tony	sycholes	reals	8	5
73	73	3	1	maw	templance	sycholes	9	8
74	74	4	20	anna	rope	templance	4	9
75	75	7	3	pavlova	scords	rope	6	4
76	76	6	2	danced	taller	scords	6	6
77	77	7	2	giselle	sengeron	taller	8	6
78	78	4	2131	with	stary	sengeron	5	8
79	79	3	731	her	reverses	stary	8	5
80	80	3	153	own	bund	reverses	4	8
81	81	5	3	motto	marine	bund	6	4
82	82	4	699	many	count	marine	5	6
83	83	12	8	institutions	carpie	count	6	5
84	84	4	361	over	consists	carpie	8	6
85	85	4	138	next	charogist	consists	9	8
86	86	3	52	ten	surring	charogist	7	9
87	87	5	429	years	sociations	surring	10	7
88	88	4	223	four	disappeared	sociations	11	10
89	89	4	513	more	regise	disappeared	6	11
90	90	6	446	states	manes	regise	5	6
91	91	4	585	made	existed	manes	7	5
92	92	9	4	physician	thrangfur	existed	9	7
93	93	8	6	assisted	parai	thrangfur	5	9
94	94	7	20	suicide	collection	parai	10	5
95	95	5	44	legal	playmond	collection	8	10
96	96	3	2800	for	televor	playmond	7	8
97	97	10	2	terminally	frez	televor	4	7
98	98	3	16	ill	desert	frez	6	4
99	99	4	275	best	seria	desert	5	6
100	100	2	22	rb	properided	seria	10	5
101	101	4	159	song	deserve	properided	7	10
102	102	3	867	she	heads	deserve	5	7
103	103	5	89	lived	feasts	heads	6	5
104	104	9	11	manhattan	marchan	feasts	7	6
105	105	7	2	marthas	make	marchan	4	7
106	106	8	3	vineyard	winery	make	6	4
107	107	3	9183	and	timp	winery	4	6
108	108	7	31	kennedy	paral	timp	5	4
109	109	8	18	compound	rought	paral	6	5
110	110	7	1	hyannis	protect	rought	7	6
111	111	4	48	port	spert	protect	5	7
112	112	4	45	mass	landed	spert	6	5
113	113	6	33	effect	feat	landed	4	6
114	114	3	43	bob	colecular	feat	9	4
115	115	6	5	holden	rolles	colecular	6	9
116	116	5	10	hello	carrey	rolles	6	6
117	117	5	2	dolly	stalls	carrey	6	6
118	118	2	1582	at	spell	stalls	5	6
119	119	4	605	time	presidents	spell	10	5
120	120	5	1	azuki	restand	presidents	7	10
121	121	5	14	beans	discurard	restand	9	7
122	122	6	583	called	arginish	discurard	8	9
123	123	5	1	shozu	merchine	arginish	8	8
124	124	2	2756	it	referenced	merchine	10	8
125	125	4	82	says	belies	referenced	6	10
126	126	6	49	humans	proverry	belies	8	6
127	127	4	316	will	barn	proverry	4	8
128	128	13	5	consciousness	pia	barn	3	4
129	129	3	802	but	confesire	pia	9	3
130	130	4	208	live	cansolo	confesire	7	9
131	131	1	7777	a	cappons	cansolo	7	7
132	132	5	537	world	anno	cappons	4	7
133	133	4	163	does	lands	anno	5	4
134	134	3	1202	not	incestoral	lands	10	5
135	135	7	6	gerhard	replands	incestoral	8	10
136	136	6	8	berger	complance	replands	9	8
137	137	9	161	countries	interration	complance	11	9
138	138	9	5	bordering	alone	interration	5	11
139	139	6	11	arctic	carticipant	alone	11	5
140	140	5	54	ocean	hunters	carticipant	7	11
141	141	3	2259	are	gorean	hunters	6	7
142	142	6	79	russia	confeened	gorean	9	6
143	143	6	35	norway	protected	confeened	9	9
144	144	7	13	iceland	ferent	protected	6	9
145	145	9	5	greenland	his	ferent	3	6
146	146	6	83	canada	interic	his	7	3
147	147	6	491	united	connected	interic	9	7
148	148	4	1	khun	amen	connected	4	9
149	149	3	3	pha	publishe	amen	8	4
150	150	5	1	muang	heared	publishe	6	8
151	151	7	120	created	mectorians	heared	10	6
152	152	7	66	village	policity	mectorians	8	10
153	153	3	29	dan	capa	policity	4	8
154	154	3	2	kwa	tars	capa	4	4
155	155	4	8	bang	companis	tars	8	4
156	156	5	1	klang	cape	companis	4	8
157	157	3	2	hao	sertain	cape	7	4
158	158	3	3	sai	playole	sertain	7	7
159	159	7	31	founder	applay	playole	6	7
160	160	7	42	project	sharking	applay	8	6
161	161	5	13	angel	recerved	sharking	8	8
162	162	4	97	food	converts	recerved	8	8
163	163	5	4	meals	dor	converts	3	8
164	164	6	9	wheels	bens	dor	4	3
165	165	7	46	program	teenan	bens	6	4
166	166	6	12	serves	mortal	teenan	6	6
167	167	9	1	homebound	posite	mortal	6	6
168	168	4	12	aids	minist	posite	6	6
169	169	3	81	los	minis	minist	5	6
170	170	7	71	angeles	marchick	minis	8	5
171	171	4	241	area	poll	marchick	4	8
172	172	2	85	co	destry	poll	6	4
173	173	5	36	peace	process	destry	7	6
174	174	8	21	alliance	genet	process	5	7
175	175	6	1	fabien	standed	genet	7	5
176	176	7	1	barthez	sports	standed	6	7
177	177	9	4	francesco	dreases	sports	7	6
178	178	5	1	toldo	ango	dreases	4	7
179	179	4	582	used	relight	ango	7	4
180	180	7	1	pastels	teet	relight	4	7
181	181	6	103	making	collassions	teet	11	4
182	182	9	155	important	dades	collassions	5	11
183	183	5	92	works	server	dades	6	5
184	184	4	420	them	conspected	server	10	6
185	185	9	230	president	spockets	conspected	8	10
186	186	6	1	labuan	doman	spockets	5	8
187	187	11	21	corporation	prediments	doman	10	5
188	188	4	77	give	consue	prediments	6	10
189	189	11	53	information	sather	consue	6	6
190	190	4	60	rest	bording	sather	7	6
191	191	8	9	skeleton	arary	bording	5	7
192	192	5	1	femur	ferred	marine	6	6
193	193	6	45	length	tours	arary	5	5
194	194	2	425	up	dous	ferred	4	6
195	195	1	129	m	welled	tours	6	5
196	196	2	16	ft	ducher	dous	6	4
197	197	4	285	kitt	creaming	welled	8	6
198	198	4	307	peak	anghers	ducher	7	6
199	199	7	3	arduino	support	creaming	7	8
200	200	5	196	small	trace	anghers	5	7
201	201	7	133	popular	phorosothe	support	10	7
202	202	10	19	electronic	beat	trace	4	5
203	203	7	37	machine	sentine	phorosothe	7	10
204	204	5	101	makes	tents	beat	5	4
205	205	4	421	very	success	sentine	7	7
206	206	4	23	easy	grown	tents	5	5
207	207	4	281	make	wenders	success	7	7
208	208	6	143	things	shoper	grown	6	5
209	209	8	1	anjelica	caster	wenders	6	7
210	210	6	1	huston	marchine	shoper	8	6
211	211	7	6	amongst	craition	caster	8	6
212	212	8	3	simplest	mode	marchine	4	8
213	213	6	39	oldest	son	craition	3	8
214	214	9	21	organisms	daraig	mode	6	4
215	215	3	5	eta	warned	son	6	3
216	216	6	1	boeriu	arters	daraig	6	6
217	217	4	442	only	suppering	warned	9	6
218	218	6	61	strong	reaching	arters	8	6
219	219	5	49	genus	hearly	suppering	6	9
220	220	11	1	necrosyrtes	penning	reaching	7	8
221	221	5	25	shark	northwestered	hearly	13	6
222	222	4	20	tale	content	penning	7	7
223	223	10	54	considered	strang	northwestered	6	13
224	224	2	1178	be	connection	content	10	7
225	225	5	935	first	shelt	strang	5	6
226	226	9	2	crossover	parase	connection	6	10
227	227	6	13	ballet	shouts	shelt	6	5
228	228	7	65	release	bellog	parase	6	6
229	229	4	64	date	harter	shouts	6	6
230	230	5	64	mount	proferson	bellog	9	6
231	231	6	33	lemmon	cases	harter	5	6
232	232	6	22	survey	carches	proferson	7	9
233	233	6	39	object	crossimate	cases	10	5
234	234	7	2	cushion	pens	carches	4	7
235	235	6	2	caroms	sembers	crossimate	7	10
236	236	5	26	score	rescourd	pens	8	4
237	237	7	67	meaning	deparation	sembers	10	7
238	238	6	3	bounce	ast	rescourd	3	8
239	239	3	136	off	prince	deparation	6	10
240	240	4	224	both	basse	ast	5	3
241	241	5	739	other	collections	prince	11	6
242	242	5	5	balls	supplient	basse	9	5
243	243	5	32	table	apport	collections	6	11
244	244	5	67	least	consects	supplient	8	9
