	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	2	2711	he	seconder	seconder	8	8
1	1	3	4223	was	peament	peament	7	7
2	2	1	7798	a	constenting	constenting	11	11
3	3	6	164	member	partres	partres	7	7
4	4	2	11549	of	signared	signared	8	8
5	5	3	24888	the	controct	controct	8	8
6	6	5	2	privy	communication	communication	13	13
7	7	7	77	council	experiment	experiment	10	10
8	8	2	9547	in	perform	perform	7	7
9	9	6	110	battle	home	home	4	4
10	10	2	2673	on	remide	remide	6	6
11	11	8	119	february	consum	consum	6	6
12	12	5	449	these	moteon	moteon	6	6
13	13	3	2189	are	feamer	feamer	6	6
14	14	6	582	called	harved	harved	6	6
15	15	8	8	marching	mannan	mannan	6	6
16	16	11	24	instruments	mantage	mantage	7	7
17	17	3	9138	and	concent	concent	7	7
18	18	5	61	sound	alon	alon	4	4
19	19	4	169	play	table	table	5	5
20	20	4	390	very	partise	partise	7	7
21	21	7	82	similar	belgian	belgian	7	7
22	22	2	7040	to	fungs	fungs	5	5
23	23	6	278	played	meas	meas	4	4
24	24	7	26	concert	excent	excent	6	6
25	25	5	6	halls	gelegerapped	gelegerapped	12	12
26	26	2	1258	an	milar	milar	5	5
27	27	7	23	attempt	counter	counter	7	7
28	28	3	2788	for	trian	trian	5	5
29	29	6	56	fourth	steam	steam	5	5
30	30	10	150	television	ninters	ninters	7	7
31	31	7	53	network	stepped	stepped	7	7
32	32	3	121	big	survive	survive	7	7
33	33	5	334	three	sected	sected	6	6
34	34	5	322	would	robined	robined	7	7
35	35	3	1257	not	pressed	pressed	7	7
36	36	6	27	happen	controness	controness	10	10
37	37	5	112	again	partic	partic	6	6
38	38	5	219	until	sport	sport	5	5
39	39	3	33	fox	sime	sime	4	4
40	40	7	58	founded	plost	plost	5	5
41	41	7	147	october	semper	semper	6	6
42	42	6	143	island	faction	faction	7	7
43	43	7	14	mercury	arrender	arrender	8	8
44	44	4	2	egon	commining	commining	9	9
45	45	8	1	spengler	experted	experted	8	8
46	46	9	21	charlotte	minister	minister	8	8
47	47	8	2	cornwell	neal	neal	4	4
48	48	7	196	english	march	march	5	5
49	49	7	69	actress	intercondition	intercondition	14	14
50	50	8	2	dressing	closer	closer	6	6
51	51	9	3	breakfast	property	property	8	8
