idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	-inf	-inf	9	1	brokeback	reading	reading	9	7	7
1	154.2438484324496	-1332.3003459131935	8	51	mountain	speaker	speaker	8	7	7
2	181.8276092184648	160.99674150237982	2	5265	is	authion	authion	2	7	7
3	163.65076560049695	105.0230814503424	5	186	named	regenest	regenest	5	8	8
4	169.29645246312123	104.41514959543312	4	241	best	marado	marado	4	6	6
5	157.46194376783583	-1655.5451079244187	7	30	picture	sand	sand	7	4	4
6	147.050669932529	-351.6083399208481	8	86	director	files	files	8	5	5
7	181.10868321374443	162.1533193579475	3	2837	for	resentration	resentration	3	12	12
8	61.21222469499085	-2437.0352166624266	3	2	ang	inferment	inferment	3	9	9
9	112.6491426320638	-1425.769801383821	3	42	lee	comman	comman	3	6	6
10	164.97119611109574	150.90176544144174	3	9286	and	shore	shore	3	5	5
11	149.77594279049245	-2150.2796640958745	4	10	ties	grand	grand	4	5	5
12	157.96449633571387	-1695.9350281738828	10	31	supporting	baria	baria	10	5	5
13	144.65943416182216	-1074.0284978728157	7	55	actress	dievent	dievent	7	7	7
14	56.58930352257442	-2401.179283853057	8	4	michelle	sitations	sitations	8	9	9
15	90.4215049590682	-1674.4612405015102	8	33	williams	combine	combine	8	7	7
16	182.31578678845307	168.97385487196703	3	24860	the	controver	controver	3	9	9
17	-inf	-inf	10	1	heartbreak	belenas	belenas	10	7	7
18	117.70833838629936	-2136.83994648099	3	12	kid	potoses	potoses	3	7	7
19	76.40086287491135	-2400.9646769214123	5	3	raven	campils	campils	5	7	7
20	168.36457616424136	134.73499974473015	3	813	can	stalan	stalan	3	6	6
21	180.4750495969624	94.3091212375325	3	118	see	predince	predince	3	8	8
22	162.778909870907	107.35222827211965	5	209	water	roge	roge	5	4	4
23	178.914184588735	102.73395157616493	4	116	just	deelenciate	deelenciate	4	11	11
24	187.0836191666253	151.53743063830987	3	335	out	alanger	alanger	3	7	7
25	183.9054898475772	170.76856134970976	2	11597	of	sudders	sudders	2	7	7
26	168.20883968250965	-1749.2193775647834	5	26	reach	beters	beters	5	6	6
27	174.62661582688898	151.36715622587585	2	2770	it	galles	galles	2	6	6
28	103.18504467225758	-2233.418219222488	5	9	toxic	defer	defer	5	5	5
29	163.43151936545462	109.35626602288572	5	199	since	seed	seed	5	4	4
30	-32.01014844019284	-2532.6794145991144	9	2	dissolves	bolly	bolly	9	5	5
31	179.83367813675275	165.9879748180812	2	9595	in	mara	mara	2	4	4
32	136.07210100439212	-2149.4815348218503	7	11	stomach	providence	providence	7	10	10
33	128.82604540656786	-1854.0589710751613	4	24	acid	hulton	hulton	4	6	6
34	191.6356504662173	174.39894572391057	2	6831	to	theas	theas	2	5	5
35	177.0316212165545	137.03292400778147	4	273	make	done	done	4	4	4
36	146.80562354813483	-1940.5505970139504	6	19	copper	pareas	pareas	6	6	6
37	100.30094239656933	-2151.8002907322284	4	12	ions	armarket	armarket	4	8	8
38	143.38284409272012	-2087.291065715848	8	13	solution	patare	patare	8	6	6
39	180.3990250101138	156.99603067736038	5	924	which	accorrise	accorrise	5	9	9
40	184.00502515072927	158.6663835931195	2	1147	be	chan	chan	2	4	4
41	149.94315945813457	-2230.377009455852	8	7	absorbed	parases	parases	8	7	7
42	180.2713340832236	152.51801187774248	5	767	other	prove	prove	5	5	5
43	142.45743984495752	-2169.671491749583	7	10	drivers	maricla	maricla	7	7	7
44	158.96153342135264	102.5889403067968	9	162	including	abana	abana	9	5	5
45	68.29874093070754	-2389.623463655756	7	4	michele	speels	speels	7	6	6
46	-inf	-inf	8	1	alboreto	component	component	8	9	9
47	-inf	-inf	8	1	riccardo	arene	arene	8	5	5
48	-inf	-inf	7	1	patrese	anthorogy	anthorogy	7	9	9
49	177.38428196110775	150.39411981630687	4	1082	also	marina	marina	4	6	6
50	156.99824552044075	-941.1883199590236	3	59	bad	cars	cars	3	4	4
51	124.5900769434255	-2311.1927375651453	7	5	crashes	theats	theats	7	6	6
52	175.12313661923594	154.21333977377307	2	1585	at	madrish	madrish	2	7	7
53	-54.328592952844005	-2553.0063180965312	10	2	tamburello	experial	experial	10	8	8
54	141.40120770675298	-2142.5657876493988	6	12	corner	walting	walting	6	7	7
55	90.29999990416422	-506.5538997852455	6	86	george	ender	ender	6	5	5
56	18.265180786757004	-2475.83074641278	4	2	doty	resigned	resigned	4	8	8
57	106.74014895510734	-1532.6019080068615	2	37	iv	complases	complases	2	9	9
58	146.76948792939675	-1889.2829345697796	7	21	reality	decide	decide	7	6	6
59	164.97079986306815	126.97909581156438	3	428	may	manna	manna	3	5	5
60	176.82861014375362	148.80019504398817	4	440	only	headpers	headpers	4	8	8
61	171.5538664693999	-1741.203187445589	5	27	serve	bolet	bolet	5	5	5
62	122.93671003453564	-2113.210818804904	4	13	mask	feathers	feathers	4	8	8
63	78.86507432403229	-2400.793202392948	4	3	foul	persecution	persecution	4	11	11
64	7.668642424426516	-2488.7884226541096	7	2	flavors	martinea	martinea	7	8	8
65	139.82568152150483	-1897.5329008072945	6	23	height	list	list	6	4	4
66	86.54502151206532	-2390.1736078925524	9	3	reduction	soviets	soviets	9	7	7
