	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	6	54	martin	reading	reading	7	7
1	1	10	1	gerschwitz	speaker	speaker	7	7
2	2	6	142	german	authion	authion	7	7
3	3	6	73	singer	regenest	regenest	8	8
4	4	10	21	songwriter	marado	marado	6	6
5	5	8	24	musician	sand	sand	4	4
6	6	3	9311	and	files	files	5	5
7	7	8	24	composer	resentration	resentration	12	12
8	8	5	3	sonia	inferment	inferment	9	9
9	9	9	2	sotomayor	comman	comman	6	6
10	10	9	4	associate	shore	shore	5	5
11	11	7	28	justice	grand	grand	5	5
12	12	2	11668	of	baria	baria	5	5
13	13	3	24990	the	dievent	dievent	7	7
14	14	6	475	united	sitations	sitations	9	9
15	15	6	425	states	combine	combine	7	7
16	16	7	31	supreme	controver	controver	9	9
17	17	5	113	court	belenas	belenas	7	7
18	18	5	42	mario	potoses	potoses	7	7
19	19	7	1	lessard	campils	campils	7	7
20	20	8	71	canadian	stalan	stalan	6	6
21	21	3	79	ice	predince	predince	8	8
22	22	6	79	hockey	roge	roge	4	4
23	23	6	196	player	deelenciate	deelenciate	11	11
24	24	5	97	david	alanger	alanger	7	7
25	25	5	1	paich	sudders	sudders	7	7
26	26	8	411	american	beters	beters	6	6
27	27	6	5	alison	galles	galles	6	6
28	28	6	9	leslie	defer	defer	5	5
29	29	7	204	british	seed	seed	4	4
30	30	8	5	diplomat	bolly	bolly	5	5
31	31	5	10	terry	mara	mara	4	4
32	32	6	1	chimes	providence	providence	10	10
33	33	5	8	boris	hulton	hulton	6	6
34	34	10	1	trajkovski	theas	theas	5	5
35	35	9	205	president	done	done	4	4
36	36	8	108	republic	pareas	pareas	6	6
37	37	9	6	macedonia	armarket	armarket	8	8
38	38	1	70	d	patare	patare	6	6
39	39	7	22	anthony	accorrise	accorrise	9	9
40	40	8	1	bourdain	chan	chan	4	4
41	41	4	8	chef	parases	parases	7	7
42	42	6	70	writer	prove	prove	5	5
43	43	4	10	greg	maricla	maricla	7	7
44	44	6	1	millen	abana	abana	5	5
45	45	4	2	jari	speels	speels	6	6
46	46	9	1	puikkonen	component	component	9	9
47	47	7	13	finnish	arene	arene	5	5
48	48	3	9	ski	anthorogy	anthorogy	9	9
49	49	6	1	jumper	marina	marina	6	6
50	50	4	4	aldo	cars	cars	4	4
51	51	6	4	serena	theats	theats	6	6
52	52	7	79	italian	madrish	madrish	7	7
53	53	10	31	footballer	experial	experial	8	8
54	54	5	24	brian	walting	walting	7	7
55	55	7	2	hayward	ender	ender	5	5
